graph,temporal_edges,order,size,time,technique
"email-Eu-core-temporal","332335","4930","124645","257.604","readSnapTemporal [sorted]"
"email-Eu-core-temporal","332335","4930","124645","251.746","readSnapTemporal [unsorted]"
"email-Eu-core-temporal","332335","4930","124645","2.452","transposeWithDegree [sorted]"
"email-Eu-core-temporal","332335","4930","124645","3.188","transposeWithDegree [unsorted]"
"CollegeMsg","59836","9495","101480","51.542","readSnapTemporal [sorted]"
"CollegeMsg","59836","9495","101480","48.538","readSnapTemporal [unsorted]"
"CollegeMsg","59836","9495","101480","1.948","transposeWithDegree [sorted]"
"CollegeMsg","59836","9495","101480","2.423","transposeWithDegree [unsorted]"
"sx-mathoverflow","506551","124090","1199890","454.674","readSnapTemporal [sorted]"
"sx-mathoverflow","506551","124090","1199890","465.244","readSnapTemporal [unsorted]"
"sx-mathoverflow","506551","124090","1199890","34.506","transposeWithDegree [sorted]"
"sx-mathoverflow","506551","124090","1199890","60.384","transposeWithDegree [unsorted]"
"sx-askubuntu","964438","796580","2984665","910.169","readSnapTemporal [sorted]"
"sx-askubuntu","964438","796580","2984665","957.065","readSnapTemporal [unsorted]"
"sx-askubuntu","964438","796580","2984665","107.902","transposeWithDegree [sorted]"
"sx-askubuntu","964438","796580","2984665","209.675","transposeWithDegree [unsorted]"
"sx-superuser","1443340","970425","4624430","1375.067","readSnapTemporal [sorted]"
"sx-superuser","1443340","970425","4624430","1594.65","readSnapTemporal [unsorted]"
"sx-superuser","1443340","970425","4624430","167.261","transposeWithDegree [sorted]"
"sx-superuser","1443340","970425","4624430","429.451","transposeWithDegree [unsorted]"
"wiki-talk-temporal","7833141","5700745","16547960","7438.125","readSnapTemporal [sorted]"
"wiki-talk-temporal","7833141","5700745","16547960","21607.051","readSnapTemporal [unsorted]"
"wiki-talk-temporal","7833141","5700745","16547960","718.922","transposeWithDegree [sorted]"
"wiki-talk-temporal","7833141","5700745","16547960","12030.658","transposeWithDegree [unsorted]"
"sx-stackoverflow","63497051","13009885","181167250","76439.016","readSnapTemporal [sorted]"
"sx-stackoverflow","63497051","13009885","181167250","94455.875","readSnapTemporal [unsorted]"
"sx-stackoverflow","63497051","13009885","181167250","10782.336","transposeWithDegree [sorted]"
"sx-stackoverflow","63497051","13009885","181167250","34569.242","transposeWithDegree [unsorted]"
