graph,order,size,batch_size,technique,time
"email-Eu-core-temporal","986","24929","1000","readSnapTemporal [sorted]","0.8609504950495047"
"email-Eu-core-temporal","986","24929","1000","readSnapTemporal [unsorted]","0.8205346534653464"
"email-Eu-core-temporal","986","24929","1000","transposeWithDegree [sorted]","1.7207326732673263"
"email-Eu-core-temporal","986","24929","1000","transposeWithDegree [unsorted]","2.100673267326733"
"email-Eu-core-temporal","986","24929","5000","readSnapTemporal [sorted]","4.208323529411764"
"email-Eu-core-temporal","986","24929","5000","readSnapTemporal [unsorted]","4.021367647058824"
"email-Eu-core-temporal","986","24929","5000","transposeWithDegree [sorted]","1.7217910447761193"
"email-Eu-core-temporal","986","24929","5000","transposeWithDegree [unsorted]","2.095820895522388"
"email-Eu-core-temporal","986","24929","10000","readSnapTemporal [sorted]","8.128057142857143"
"email-Eu-core-temporal","986","24929","10000","readSnapTemporal [unsorted]","7.854485714285717"
"email-Eu-core-temporal","986","24929","10000","transposeWithDegree [sorted]","1.759294117647059"
"email-Eu-core-temporal","986","24929","10000","transposeWithDegree [unsorted]","2.1458235294117642"
"email-Eu-core-temporal","986","24929","50000","readSnapTemporal [sorted]","34.992625"
"email-Eu-core-temporal","986","24929","50000","readSnapTemporal [unsorted]","35.25225"
"email-Eu-core-temporal","986","24929","50000","transposeWithDegree [sorted]","1.9622857142857142"
"email-Eu-core-temporal","986","24929","50000","transposeWithDegree [unsorted]","2.392285714285714"
"email-Eu-core-temporal","986","24929","100000","readSnapTemporal [sorted]","55.57340000000001"
"email-Eu-core-temporal","986","24929","100000","readSnapTemporal [unsorted]","53.99399999999999"
"email-Eu-core-temporal","986","24929","100000","transposeWithDegree [sorted]","2.2135"
"email-Eu-core-temporal","986","24929","100000","transposeWithDegree [unsorted]","2.7355"
"CollegeMsg","1899","20296","1000","readSnapTemporal [sorted]","0.9274426229508197"
"CollegeMsg","1899","20296","1000","readSnapTemporal [unsorted]","0.8852131147540987"
"CollegeMsg","1899","20296","1000","transposeWithDegree [sorted]","1.1711166666666664"
"CollegeMsg","1899","20296","1000","transposeWithDegree [unsorted]","1.3659333333333337"
"CollegeMsg","1899","20296","5000","readSnapTemporal [sorted]","4.136923076923076"
"CollegeMsg","1899","20296","5000","readSnapTemporal [unsorted]","3.9935384615384613"
"CollegeMsg","1899","20296","5000","transposeWithDegree [sorted]","1.229"
"CollegeMsg","1899","20296","5000","transposeWithDegree [unsorted]","1.4472500000000001"
"CollegeMsg","1899","20296","10000","readSnapTemporal [sorted]","7.649714285714286"
"CollegeMsg","1899","20296","10000","readSnapTemporal [unsorted]","7.3420000000000005"
"CollegeMsg","1899","20296","10000","transposeWithDegree [sorted]","1.3273333333333335"
"CollegeMsg","1899","20296","10000","transposeWithDegree [unsorted]","1.5881666666666667"
"CollegeMsg","1899","20296","50000","readSnapTemporal [sorted]","17.808666666666667"
"CollegeMsg","1899","20296","50000","readSnapTemporal [unsorted]","17.163666666666668"
"CollegeMsg","1899","20296","50000","transposeWithDegree [sorted]","2.1185"
"CollegeMsg","1899","20296","50000","transposeWithDegree [unsorted]","2.481"
"sx-mathoverflow","24818","239978","1000","readSnapTemporal [sorted]","1.1806732673267326"
"sx-mathoverflow","24818","239978","1000","readSnapTemporal [unsorted]","1.1038613861386133"
"sx-mathoverflow","24818","239978","1000","transposeWithDegree [sorted]","24.963633663366338"
"sx-mathoverflow","24818","239978","1000","transposeWithDegree [unsorted]","37.40931683168317"
"sx-mathoverflow","24818","239978","5000","readSnapTemporal [sorted]","5.036069306930694"
"sx-mathoverflow","24818","239978","5000","readSnapTemporal [unsorted]","5.027287128712873"
"sx-mathoverflow","24818","239978","5000","transposeWithDegree [sorted]","24.13466336633664"
"sx-mathoverflow","24818","239978","5000","transposeWithDegree [unsorted]","36.803613861386125"
"sx-mathoverflow","24818","239978","10000","readSnapTemporal [sorted]","9.658442307692308"
"sx-mathoverflow","24818","239978","10000","readSnapTemporal [unsorted]","9.73805769230769"
"sx-mathoverflow","24818","239978","10000","transposeWithDegree [sorted]","23.97139215686275"
"sx-mathoverflow","24818","239978","10000","transposeWithDegree [unsorted]","37.27150980392156"
"sx-mathoverflow","24818","239978","50000","readSnapTemporal [sorted]","41.061"
"sx-mathoverflow","24818","239978","50000","readSnapTemporal [unsorted]","41.77433333333334"
"sx-mathoverflow","24818","239978","50000","transposeWithDegree [sorted]","27.037909090909093"
"sx-mathoverflow","24818","239978","50000","transposeWithDegree [unsorted]","42.67036363636364"
"sx-mathoverflow","24818","239978","100000","readSnapTemporal [sorted]","70.28099999999999"
"sx-mathoverflow","24818","239978","100000","readSnapTemporal [unsorted]","71.46657142857143"
"sx-mathoverflow","24818","239978","100000","transposeWithDegree [sorted]","30.178"
"sx-mathoverflow","24818","239978","100000","transposeWithDegree [unsorted]","48.54216666666667"
"sx-mathoverflow","24818","239978","500000","readSnapTemporal [sorted]","164.05100000000002"
"sx-mathoverflow","24818","239978","500000","readSnapTemporal [unsorted]","166.76133333333334"
"sx-mathoverflow","24818","239978","500000","transposeWithDegree [sorted]","42.0755"
"sx-mathoverflow","24818","239978","500000","transposeWithDegree [unsorted]","71.8775"
"sx-askubuntu","159316","596933","1000","readSnapTemporal [sorted]","1.20580198019802"
"sx-askubuntu","159316","596933","1000","readSnapTemporal [unsorted]","1.1984554455445542"
"sx-askubuntu","159316","596933","1000","transposeWithDegree [sorted]","89.6071089108911"
"sx-askubuntu","159316","596933","1000","transposeWithDegree [unsorted]","132.51924752475247"
"sx-askubuntu","159316","596933","5000","readSnapTemporal [sorted]","5.3323564356435655"
"sx-askubuntu","159316","596933","5000","readSnapTemporal [unsorted]","5.641386138613862"
"sx-askubuntu","159316","596933","5000","transposeWithDegree [sorted]","89.3561188118812"
"sx-askubuntu","159316","596933","5000","transposeWithDegree [unsorted]","132.64743564356436"
"sx-askubuntu","159316","596933","10000","readSnapTemporal [sorted]","10.29127551020408"
"sx-askubuntu","159316","596933","10000","readSnapTemporal [unsorted]","10.979744897959186"
"sx-askubuntu","159316","596933","10000","transposeWithDegree [sorted]","92.69979381443297"
"sx-askubuntu","159316","596933","10000","transposeWithDegree [unsorted]","136.41840206185563"
"sx-askubuntu","159316","596933","50000","readSnapTemporal [sorted]","47.111714285714285"
"sx-askubuntu","159316","596933","50000","readSnapTemporal [unsorted]","50.24995238095237"
"sx-askubuntu","159316","596933","50000","transposeWithDegree [sorted]","90.81604999999999"
"sx-askubuntu","159316","596933","50000","transposeWithDegree [unsorted]","138.25300000000001"
"sx-askubuntu","159316","596933","100000","readSnapTemporal [sorted]","89.825"
