Using graph /home/subhajit/data/email-Eu-core-temporal.txt ...
Temporal edges: 332335
order: 986 size: 24929 {} [00252.052 ms; buffer=1] readSnapTemporal
order: 986 size: 24929 {} [00001.806 ms; buffer=1] transposeWithDegree
order: 986 size: 24929 {} [00252.908 ms; buffer=2] readSnapTemporal
order: 986 size: 24929 {} [00001.744 ms; buffer=2] transposeWithDegree
order: 986 size: 24929 {} [00256.706 ms; buffer=4] readSnapTemporal
order: 986 size: 24929 {} [00001.754 ms; buffer=4] transposeWithDegree
order: 986 size: 24929 {} [00251.471 ms; buffer=8] readSnapTemporal
order: 986 size: 24929 {} [00001.737 ms; buffer=8] transposeWithDegree
order: 986 size: 24929 {} [00252.723 ms; buffer=16] readSnapTemporal
order: 986 size: 24929 {} [00001.786 ms; buffer=16] transposeWithDegree
order: 986 size: 24929 {} [00256.125 ms; buffer=32] readSnapTemporal
order: 986 size: 24929 {} [00001.784 ms; buffer=32] transposeWithDegree
order: 986 size: 24929 {} [00251.856 ms; buffer=64] readSnapTemporal
order: 986 size: 24929 {} [00001.670 ms; buffer=64] transposeWithDegree
order: 986 size: 24929 {} [00252.906 ms; buffer=128] readSnapTemporal
order: 986 size: 24929 {} [00001.715 ms; buffer=128] transposeWithDegree
order: 986 size: 24929 {} [00252.658 ms; buffer=256] readSnapTemporal
order: 986 size: 24929 {} [00001.780 ms; buffer=256] transposeWithDegree
order: 986 size: 24929 {} [00254.143 ms; buffer=512] readSnapTemporal
order: 986 size: 24929 {} [00002.484 ms; buffer=512] transposeWithDegree
order: 986 size: 24929 {} [00255.880 ms; buffer=1024] readSnapTemporal
order: 986 size: 24929 {} [00003.449 ms; buffer=1024] transposeWithDegree
order: 986 size: 24929 {} [00256.751 ms; buffer=2048] readSnapTemporal
order: 986 size: 24929 {} [00006.596 ms; buffer=2048] transposeWithDegree
order: 986 size: 24929 {} [00258.555 ms; buffer=4096] readSnapTemporal
order: 986 size: 24929 {} [00011.939 ms; buffer=4096] transposeWithDegree

Using graph /home/subhajit/data/CollegeMsg.txt ...
Temporal edges: 59836
order: 1899 size: 20296 {} [00053.125 ms; buffer=1] readSnapTemporal
